row,merchant_id,merchant_name,segmentation
255,,,T20
256,,,T20
257,,,T20
258,,,T20
259,,,T20
260,,,T20
261,,,No
262,,,T20
263,,,T20 (T3 - C2)
264,,,T20 (T3 - A2)
265,,,T20
266,,,T20 (T3 - A1)
267,,,T20
268,,,T20 (T3 - A1)
269,,,T20 (T3 - A2)
270,,,T20
271,,,T20
272,,,T20 (T3 - B2)
273,,,T20
274,,,T20
275,,,T20 (T3 - C3)
276,,,T20
277,,,T20
278,,,T20
279,,,T20
280,,,T20 (T3 - C1)
281,,,T20
282,,,T20 (T3 - B3)
283,,,T20 (T3 - A1)
284,,,T20
285,,,T20
286,,,T20
287,,,T20
288,,,T20
289,,,T20 (T3 - C2)
290,,,T20
291,,,No
292,,,T20
293,,,T20 (T3 - A1)
294,,,T20 (T3 - B1)
295,,,T20
296,,,T20
297,,,T20
298,,,T20 (T3 - A2)
299,,,T20 (T3 - A1)
300,,,T20
301,,,T20
302,,,T20
303,,,T20
304,,,T20
305,,,T20
306,,,T20 (T3 - A1)
307,,,T20
308,,,T20
309,,,T20
310,,,T20
311,,,T20
312,,,T20 (T3 - A1)
313,,,T20
314,,,T20 (T3 - A2)
315,,,T20
316,,,T20
317,,,T20
318,,,T20 (T3 - A2)
319,,,T20 (T3 - B1)
320,,,T20 (T3 - A1)
321,,,T20
322,,,T20
323,,,T20
324,,,T20
325,,,T20 (T3 - B1)
326,,,T20
327,,,T20
328,,,No
329,,,T20
330,,,T20 (T3 - A2)
331,,,T20 (T3 - A1)
332,,,T20 (T3 - A2)
333,,,T20
334,,,T20 (T3 - A2)
335,,,T20
336,,,T20
337,,,T20 (T3 - A2)
338,,,No
339,,,T20
340,,,T20
341,,,T20
342,,,T20
343,,,T20
344,,,T20 (T3 - B3)
345,,,T20
346,,,No
347,,,T20
348,,,T20
349,,,T20
350,,,T20
351,,,T20
352,,,T20
353,,,T20
354,,,T20 (T3 - B1)
355,,,T20
356,,,T20
357,,,T20
358,,,T20 (T3 - B2)
359,,,T20 (T3 - A2)
360,,,T20
361,,,T20
362,,,T20
363,,,T20
364,,,T20 (T3 - A2)
365,,,T20 (T3 - A2)
366,,,T20
367,,,T20
368,,,T20
369,,,T20
370,,,T20
371,,,T20 (T3 - A1)
372,,,T20 (T3 - A1)
373,,,T20
374,,,T20
375,,,T20 (T3 - B3)
376,,,T20
377,,,T20
378,,,T20 (T3 - B1)
379,,,T20
380,,,T20 (T3 - B2)
381,,,T20
382,,,T20 (T3 - B1)
383,,,T20 (T3 - B1)
384,,,T20
385,,,T20
386,,,T20 (T3 - A1)
387,,,No
388,,,T20
389,,,T20 (T3 - B1)
390,,,T20
391,,,T20
392,,,T20
393,,,T20 (T3 - A1)
394,,,T20 (T3 - B1)
395,,,T20
396,,,T20 (T3 - B2)
397,,,T20 (T3 - B3)
398,,,T20 (T3 - A1)
399,,,T20
400,,,T20
401,,,T20
402,,,T20
403,,,T20
404,,,T20
405,,,T20
406,,,T20
407,,,T20
408,,,T20
409,,,T20
410,,,T20 (T3 - B1)
411,,,T20
412,,,T20
413,,,T20
414,,,T20 (T3 - A2)
415,,,T20 (T3 - A1)
416,,,T20
417,,,No
418,,,T20 (T3 - B2)
419,,,T20
420,,,No
421,,,T20
422,,,T20
423,,,T20
424,,,T20 (T3 - B2)
425,,,T20
426,,,No
427,,,T20
428,,,T20
429,,,T20
430,,,T20
431,,,T20
432,,,T20
433,,,T20 (T3 - C2)
434,,,T20
435,,,No
436,,,T20
437,,,T20
438,,,T20
439,,,T20 (T3 - A2)
440,,,T20
441,,,No
442,,,T20 (T3 - A2)
443,,,No
444,,,T20
445,,,T20
446,,,T20
447,,,T20
448,,,T20
449,,,T20
450,,,No
451,,,T20
452,,,T20 (T3 - B2)
453,,,T20 (T3 - C2)
454,,,T20 (T3 - A3)
455,,,T20
456,,,T20
457,,,T20
458,,,T20
459,,,T20
460,,,T20 (T3 - C1)
461,,,T20
462,,,T20
463,,,T20 (T3 - A2)
464,,,T20 (T3 - A1)
465,,,T20 (T3 - B1)
466,,,T20 (T3 - B3)
467,,,T20
468,,,T20
469,,,T20
470,,,T20
471,,,T20
472,,,T20
473,,,T20
474,,,No
475,,,T20
476,,,T20
477,,,T20
478,,,T20 (T3 - B3)
479,,,T20
480,,,T20
481,,,T20
482,,,T20
483,,,T20 (T3 - A1)
484,,,T20
485,,,T20
486,,,T20
487,,,T20
488,,,T20
489,,,T20
490,,,T20
491,,,T20
492,,,T20
493,,,T20
494,,,T20
495,,,T20
496,,,T20
497,,,T20 (T3 - A2)
498,,,No
499,,,No
500,,,T20 (T3 - A1)
501,,,T20
502,,,T20
503,,,T20
504,,,T20
505,,,T20
506,,,T20
507,,,T20
508,,,T20
509,,,T20
510,,,T20 (T3 - A1)
511,,,T20
512,,,T20 (T3 - A2)
513,,,T20
514,,,No
515,,,No
516,,,T20
517,,,T20
518,,,T20
519,,,T20
520,,,T20
521,,,T20 (T3 - A1)
522,,,T20
523,,,T20
524,,,T20 (T3 - A2)
525,,,T20
526,,,T20
527,,,T20
528,,,T20
529,,,T20
530,,,T20
531,,,T20
532,,,T20 (T3 - A1)
533,,,T20
534,,,T20 (T3 - A2)
535,,,T20
536,,,T20
537,,,T20
538,,,T20
539,,,No
540,,,T20
541,,,T20
542,,,T20
543,,,T20
544,,,No
545,,,T20
546,,,T20
547,,,T20
548,,,T20
549,,,T20
550,,,T20
